code;description;price;image;puntuation;altImage;fecha
B01N3YD5XR;Nikon D5600 - Cámara réflex DE 24.2 MP sin objectivo (Pantalla táctil de 3", Full HD) Negro, versión Europea;EUR 651,95;https://images-eu.ssl-images-amazon.com/images/I/51uQ3XEqzhL._AC_US218_.jpg;3,9 de un máximo de 5 estrellas;Nikon D5600 - Cámara réflex DE 24.2 MP sin objectivo (Pantalla táctil de 3", Full HD) Negro, versión Europea;2018-10-25 19:33:38.965293
B072639587;Nikon AF-P DX NIKKOR 10-20mm f/4.5-5.6G VR - Objetivo para cámara, color negro;EUR 318,95;https://images-eu.ssl-images-amazon.com/images/I/41vguPg3e1L._AC_US218_.jpg;3,8 de un máximo de 5 estrellas;Nikon AF-P DX NIKKOR 10-20mm f/4.5-5.6G VR - Objetivo para cámara, color negro;2018-10-25 19:33:38.968296
B00HQCW7SS;Nikon D3300 - Cámara réflex digital de 24.2 Mp (pantalla LCD de 3", grabación de vídeo Full HD), color negro [Versión EU];EUR 399,00;https://images-eu.ssl-images-amazon.com/images/I/51xbVEruw+L._AC_US218_.jpg;4,4 de un máximo de 5 estrellas;Nikon D3300 - Cámara réflex digital de 24.2 Mp (pantalla LCD de 3", grabación de vídeo Full HD), color negro [Versión EU];2018-10-25 19:33:38.970295
B007VGGIB6;Nikon WU-1A WLAN Adapter - Adaptador de red USB (WLAN 802.11b Port, WLAN 802.11g Port), Negro;EUR 59,00;https://images-eu.ssl-images-amazon.com/images/I/51wcDW7jkwL._AC_US218_.jpg;4,1 de un máximo de 5 estrellas;Nikon WU-1A WLAN Adapter - Adaptador de red USB (WLAN 802.11b Port, WLAN 802.11g Port), Negro;2018-10-25 19:33:38.973279
B01G2WQJ54;Yongnuo YN 50MM F1.8 Lente Objetivo (Apertura F/1.8) para Nikon DSLR Cámara Fotografía, Enfoque Automático de Gran Apertura + WINGONEER difusión;EUR 79,99;https://images-eu.ssl-images-amazon.com/images/I/51Me7mWc2UL._AC_US218_.jpg;3,9 de un máximo de 5 estrellas;Yongnuo YN 50MM F1.8 Lente Objetivo (Apertura F/1.8) para Nikon DSLR Cámara Fotografía, Enfoque Automático de Gran Apertura + WINGONEER difusión;2018-10-25 19:33:38.976286
B01C672QQ0;Nikon COOLPIX B700 20.3MP 1/2.3" CMOS 5184 x 3888Pixeles - Cámara Digital (Auto, Batería, Cámara Puente, TTL, 1/2.3", 4,3-258 mm);EUR 459,00;https://images-eu.ssl-images-amazon.com/images/I/51gYVi9XqDL._AC_US218_.jpg;3,8 de un máximo de 5 estrellas;Nikon COOLPIX B700 20.3MP 1/2.3" CMOS 5184 x 3888Pixeles - Cámara Digital (Auto, Batería, Cámara Puente, TTL, 1/2.3", 4,3-258 mm);2018-10-25 19:33:38.978286
B00GE4MNQA;Neewer 750II TTL, Flash Speedlite con pantalla LCD para Nikon;EUR 58,99;https://images-eu.ssl-images-amazon.com/images/I/41vzbQSZ93L._AC_US218_.jpg;4,2 de un máximo de 5 estrellas;Neewer 750II TTL, Flash Speedlite con pantalla LCD para Nikon;2018-10-25 19:33:38.980284
B071P55939;Powerextra Batería Nikon EN-EL14 para Nikon D3100, D3200, D3300, D5100, D5200, D5300, D5500, DF, Coolpix P7000, P7100, P7700, P7800 EN EL14a DSLR Cámara;EUR 19,99;https://images-eu.ssl-images-amazon.com/images/I/41B+ACUH8DL._AC_US218_.jpg;4,7 de un máximo de 5 estrellas;Powerextra Batería Nikon EN-EL14 para Nikon D3100, D3200, D3300, D5100, D5200, D5300, D5500, DF, Coolpix P7000, P7100, P7700, P7800 EN EL14a DSLR Cámara;2018-10-25 19:33:38.982284
B01G1RMSZA;Godox X1T-N Primera TTL 2.4G Transmisor Inalámbrico Disparador de Flash para la Nikon D610 D800E D800 D700 D300s D300 D600 D5300 D5200 D3100 D7100 D90 D4s D3 Serie de DSLR Cámaras (X1T-N);EUR 44,00;https://images-eu.ssl-images-amazon.com/images/I/51mMvIs4D4L._AC_US218_.jpg;4,6 de un máximo de 5 estrellas;Godox X1T-N Primera TTL 2.4G Transmisor Inalámbrico Disparador de Flash para la Nikon D610 D800E D800 D700 D300s D300 D600 D5300 D5200 D3100 D7100 D90 D4s D3 Serie de DSLR Cámaras (X1T-N);2018-10-25 19:33:38.985282
B01G1QU236;Godox X1N Primera TTL 2.4 G Transmisor Inalámbrico + Receptor Equipo Para la Nikon D610 D800E D800 D700 D300s D300 D600 D5300 D5200 D3100 D7100 D90 D4s D3 Serie de Cámaras (X1T-N+X1R-N);EUR 81,00;https://images-eu.ssl-images-amazon.com/images/I/51zvgfyO3hL._AC_US218_.jpg;4 de un máximo de 5 estrellas;Godox X1N Primera TTL 2.4 G Transmisor Inalámbrico + Receptor Equipo Para la Nikon D610 D800E D800 D700 D300s D300 D600 D5300 D5200 D3100 D7100 D90 D4s D3 Serie de Cámaras (X1T-N+X1R-N);2018-10-25 19:33:38.988285
